Farbe,Anzahl
"(6, 7, 9)",15
"(6, 7, 11)",10
"(6, 7, 12)",2
"(6, 8, 0)",8
"(6, 8, 3)",7
"(6, 8, 5)",30
"(6, 8, 7)",88
"(6, 9, 0)",1
"(6, 9, 2)",7
"(6, 10, 9)",5
"(6, 10, 11)",2
"(6, 11, 5)",7
"(6, 11, 7)",6
"(6, 11, 15)",1
"(6, 12, 12)",1
"(7, 0, 0)",428
"(7, 0, 1)",3
"(7, 0, 7)",2
"(7, 0, 8)",1
"(7, 1, 1)",90
"(7, 1, 3)",21
"(7, 1, 5)",2
"(7, 1, 11)",1
"(7, 2, 0)",236
"(7, 2, 6)",10
"(7, 2, 8)",9
"(7, 2, 9)",5
"(7, 3, 0)",99
"(7, 3, 2)",40
"(7, 3, 4)",32
"(7, 3, 17)",1
"(7, 4, 0)",89
"(7, 4, 11)",6
"(7, 4, 13)",1
"(7, 4, 15)",6
"(7, 5, 0)",2
"(7, 5, 6)",259
"(7, 5, 8)",64
"(7, 5, 10)",18
"(7, 5, 16)",10
"(7, 5, 18)",9
"(7, 5, 19)",9
"(7, 6, 0)",1
"(7, 6, 1)",58
"(7, 6, 2)",61
"(7, 6, 4)",128
"(7, 6, 11)",19
"(7, 6, 12)",11
"(7, 6, 14)",8
"(7, 6, 20)",1
"(7, 7, 0)",27
"(7, 7, 5)",318
"(7, 7, 7)",383
"(7, 7, 9)",162
"(7, 8, 0)",10
"(7, 8, 2)",32
"(7, 8, 3)",48
"(7, 8, 10)",23
"(7, 8, 12)",7
"(7, 8, 13)",3
"(7, 9, 0)",1
"(7, 9, 4)",24
"(7, 9, 6)",43
"(7, 9, 8)",90
"(7, 10, 3)",5
"(7, 11, 10)",5
"(7, 12, 6)",15
"(7, 12, 8)",12
"(7, 12, 15)",1
"(7, 12, 16)",1
"(7, 13, 13)",1
"(7, 14, 7)",4
"(8, 0, 0)",357
"(8, 0, 2)",4
"(8, 1, 0)",195
"(8, 1, 8)",6
"(8, 2, 0)",1
"(8, 2, 2)",52
"(8, 2, 4)",15
"(8, 2, 6)",3
"(8, 2, 16)",1
"(8, 3, 0)",209
"(8, 3, 7)",16
"(8, 3, 9)",8
"(8, 3, 10)",8
"(8, 4, 0)",11
"(8, 4, 1)",73
"(8, 4, 3)",28
"(8, 4, 5)",24
"(8, 4, 18)",2
"(8, 4, 19)",2
"(8, 5, 0)",92
"(8, 5, 12)",7
"(8, 5, 14)",5
"(8, 5, 16)",5
"(8, 6, 0)",1
"(8, 6, 7)",278
"(8, 6, 9)",94
"(8, 6, 11)",9
"(8, 6, 17)",13
"(8, 6, 19)",3
"(8, 6, 20)",7
"(8, 7, 0)",2
"(8, 7, 2)",49
"(8, 7, 3)",68
"(8, 7, 5)",122
"(8, 7, 12)",22
"(8, 7, 13)",5
"(8, 7, 15)",7
"(8, 7, 21)",1
"(8, 8, 0)",36
"(8, 8, 6)",361
"(8, 8, 8)",417
"(8, 8, 10)",131
"(8, 9, 1)",5
"(8, 9, 3)",17
"(8, 9, 4)",39
"(8, 9, 11)",21
"(8, 9, 13)",6
"(8, 9, 14)",1
"(8, 10, 0)",6
"(8, 10, 5)",16
"(8, 10, 7)",44
"(8, 10, 9)",86
"(8, 11, 0)",1
"(8, 11, 2)",2
"(8, 11, 4)",8
"(8, 12, 0)",1
"(8, 12, 11)",17
"(8, 12, 15)",1
"(8, 13, 0)",1
"(8, 13, 6)",2
"(8, 13, 7)",13
"(8, 13, 9)",13
"(8, 14, 12)",1
"(8, 14, 14)",1
"(8, 15, 7)",2
"(8, 15, 8)",4
"(9, 0, 0)",54
"(9, 0, 1)",57
"(9, 0, 3)",6
"(9, 0, 7)",1
"(9, 1, 0)",273
"(9, 2, 0)",223
"(9, 2, 9)",3
"(9, 3, 0)",3
"(9, 3, 3)",44
"(9, 3, 5)",14
"(9, 3, 7)",1
"(9, 4, 0)",104
"(9, 4, 1)",59
"(9, 4, 8)",21
"(9, 4, 10)",11
"(9, 4, 11)",1
"(9, 5, 0)",13
"(9, 5, 2)",51
"(9, 5, 4)",27
"(9, 5, 6)",20
"(9, 5, 19)",4
"(9, 6, 0)",26
"(9, 6, 1)",48
"(9, 6, 13)",4
"(9, 6, 15)",3
"(9, 6, 17)",1
"(9, 7, 0)",1
"(9, 7, 8)",278
"(9, 7, 10)",84
"(9, 7, 12)",10
"(9, 7, 18)",5
"(9, 7, 20)",3
"(9, 8, 3)",51
"(9, 8, 4)",70
"(9, 8, 6)",97
"(9, 8, 13)",13
"(9, 8, 14)",6
"(9, 8, 16)",4
"(9, 9, 0)",8
"(9, 9, 1)",21
"(9, 9, 7)",373
"(9, 9, 9)",446
"(9, 9, 11)",156
"(9, 9, 21)",1
"(9, 10, 2)",10
"(9, 10, 4)",29
"(9, 10, 5)",44
"(9, 10, 12)",22
"(9, 10, 14)",7
"(9, 11, 0)",9
"(9, 11, 6)",16
"(9, 11, 8)",48
"(9, 11, 10)",99
"(9, 12, 0)",3
"(9, 12, 3)",7
"(9, 12, 5)",9
"(9, 13, 0)",1
"(9, 13, 12)",18
"(9, 14, 8)",25
"(9, 14, 10)",14
"(9, 14, 18)",2
"(9, 15, 15)",1
"(9, 16, 0)",1
"(9, 16, 8)",1
"(9, 16, 9)",1
"(10, 0, 0)",29
"(10, 0, 1)",1
"(10, 1, 0)",45
"(10, 1, 2)",37
"(10, 1, 4)",9
"(10, 1, 6)",2
"(10, 2, 0)",278
"(10, 3, 0)",204
"(10, 3, 10)",1
"(10, 3, 11)",1
"(10, 4, 0)",1
"(10, 4, 4)",36
"(10, 4, 6)",12
"(10, 4, 8)",2
"(10, 4, 16)",1
"(10, 5, 0)",50
"(10, 5, 1)",64
"(10, 5, 2)",57
"(10, 5, 9)",17
"(10, 5, 11)",5
"(10, 6, 0)",11
"(10, 6, 3)",33
"(10, 6, 5)",37
"(10, 6, 7)",16
"(10, 7, 0)",24
"(10, 7, 2)",50
"(10, 7, 14)",8
"(10, 7, 16)",4
"(10, 7, 18)",1
"(10, 8, 0)",2
"(10, 8, 9)",304
"(10, 8, 11)",92
"(10, 8, 13)",11
"(10, 8, 19)",4
"(10, 8, 21)",3
"(10, 8, 22)",6
"(10, 9, 4)",53
"(10, 9, 5)",63
"(10, 9, 7)",80
"(10, 9, 14)",19
"(10, 9, 15)",6
"(10, 9, 17)",1
"(10, 10, 0)",13
"(10, 10, 2)",20
"(10, 10, 8)",403
"(10, 10, 10)",524
"(10, 10, 12)",195
"(10, 11, 3)",11
"(10, 11, 5)",47
"(10, 11, 6)",45
"(10, 11, 13)",17
"(10, 11, 15)",5
"(10, 11, 16)",1
"(10, 12, 0)",7
"(10, 12, 1)",1
"(10, 12, 7)",33
"(10, 12, 9)",64
"(10, 12, 11)",143
"(10, 13, 0)",7
"(10, 13, 2)",1
"(10, 13, 4)",10
