Farbe,Anzahl
"(76, 88, 78)",22
"(76, 88, 84)",3
"(76, 88, 86)",8
"(76, 88, 88)",9
"(76, 88, 100)",663
"(76, 88, 102)",450
"(76, 88, 104)",616
"(76, 88, 110)",591
"(76, 88, 112)",585
"(76, 88, 114)",437
"(76, 88, 126)",114
"(76, 88, 128)",102
"(76, 88, 130)",75
"(76, 88, 136)",55
"(76, 88, 138)",23
"(76, 88, 140)",11
"(76, 88, 146)",3
"(76, 89, 36)",1
"(76, 89, 43)",2
"(76, 89, 45)",3
"(76, 89, 46)",5
"(76, 89, 59)",171
"(76, 89, 61)",466
"(76, 89, 63)",704
"(76, 89, 69)",108
"(76, 89, 71)",107
"(76, 89, 72)",35
"(76, 89, 79)",9
"(76, 89, 80)",9
"(76, 89, 82)",4
"(76, 89, 95)",94
"(76, 89, 97)",439
"(76, 89, 98)",860
"(76, 89, 105)",356
"(76, 89, 106)",578
"(76, 89, 108)",610
"(76, 89, 121)",291
"(76, 89, 123)",194
"(76, 89, 124)",138
"(76, 89, 131)",123
"(76, 89, 133)",130
"(76, 89, 134)",98
"(76, 89, 141)",30
"(76, 89, 142)",11
"(76, 89, 144)",1
"(76, 90, 41)",2
"(76, 90, 54)",16
"(76, 90, 55)",36
"(76, 90, 57)",51
"(76, 90, 64)",120
"(76, 90, 65)",329
"(76, 90, 67)",297
"(76, 90, 73)",17
"(76, 90, 75)",6
"(76, 90, 77)",10
"(76, 90, 90)",3
"(76, 90, 93)",17
"(76, 90, 99)",263
"(76, 90, 101)",265
"(76, 90, 103)",215
"(76, 90, 116)",678
"(76, 90, 117)",613
"(76, 90, 119)",412
"(76, 90, 125)",228
"(76, 90, 127)",149
"(76, 90, 129)",129
"(76, 90, 135)",184
"(76, 90, 137)",109
"(76, 90, 139)",60
"(76, 91, 48)",1
"(76, 91, 50)",5
"(76, 91, 52)",11
"(76, 91, 58)",18
"(76, 91, 60)",57
"(76, 91, 62)",77
"(76, 91, 68)",55
"(76, 91, 70)",41
"(76, 91, 72)",32
"(76, 91, 84)",15
"(76, 91, 86)",4
"(76, 91, 88)",6
"(76, 91, 94)",2
"(76, 91, 96)",13
"(76, 91, 98)",92
"(76, 91, 110)",560
"(76, 91, 112)",748
"(76, 91, 114)",793
"(76, 91, 120)",676
"(76, 91, 122)",525
"(76, 91, 124)",345
"(76, 91, 130)",228
"(76, 91, 132)",232
"(76, 91, 134)",227
"(76, 91, 146)",3
"(76, 92, 43)",3
"(76, 92, 45)",5
"(76, 92, 47)",1
"(76, 92, 53)",6
"(76, 92, 55)",13
"(76, 92, 56)",28
"(76, 92, 63)",21
"(76, 92, 65)",26
"(76, 92, 66)",64
"(76, 92, 79)",3
"(76, 92, 82)",7
"(76, 92, 91)",1
"(76, 92, 92)",1
"(76, 92, 105)",108
"(76, 92, 107)",203
"(76, 92, 108)",386
"(76, 92, 115)",868
"(76, 92, 117)",927
"(76, 92, 118)",858
"(76, 92, 125)",631
"(76, 92, 126)",409
"(76, 92, 128)",273
"(76, 92, 141)",56
"(76, 92, 143)",17
"(76, 92, 144)",7
"(76, 92, 151)",1
"(76, 93, 41)",1
"(76, 93, 49)",2
"(76, 93, 51)",1
"(76, 93, 57)",16
"(76, 93, 59)",12
"(76, 93, 61)",26
"(76, 93, 74)",5
"(76, 93, 75)",1
"(76, 93, 77)",2
"(76, 93, 85)",4
"(76, 93, 87)",1
"(76, 93, 100)",15
"(76, 93, 101)",54
"(76, 93, 103)",72
"(76, 93, 109)",258
"(76, 93, 111)",486
"(76, 93, 113)",644
"(76, 93, 119)",1182
"(76, 93, 121)",1075
"(76, 93, 123)",918
"(76, 93, 136)",267
"(76, 93, 137)",171
"(76, 93, 139)",116
"(76, 93, 145)",10
"(76, 93, 147)",2
"(76, 93, 149)",1
"(76, 94, 46)",1
"(76, 94, 52)",2
"(76, 94, 54)",6
"(76, 94, 56)",30
"(76, 94, 68)",3
"(76, 94, 70)",4
"(76, 94, 72)",6
"(76, 94, 78)",2
"(76, 94, 80)",11
"(76, 94, 82)",2
"(76, 94, 94)",1
"(76, 94, 96)",1
"(76, 94, 98)",2
"(76, 94, 104)",19
"(76, 94, 106)",46
"(76, 94, 108)",131
"(76, 94, 114)",557
"(76, 94, 116)",915
"(76, 94, 118)",1077
"(76, 94, 130)",649
"(76, 94, 132)",482
"(76, 94, 134)",365
"(76, 94, 140)",168
"(76, 94, 142)",61
"(76, 94, 144)",23
"(76, 95, 63)",2
"(76, 95, 65)",3
"(76, 95, 67)",4
"(76, 95, 75)",1
"(76, 95, 91)",1
"(76, 95, 99)",2
"(76, 95, 101)",3
"(76, 95, 102)",7
"(76, 95, 109)",59
"(76, 95, 110)",141
"(76, 95, 112)",338
"(76, 95, 125)",1628
"(76, 95, 127)",1370
"(76, 95, 128)",992
"(76, 95, 135)",655
"(76, 95, 137)",414
"(76, 95, 138)",330
"(76, 95, 151)",1
"(76, 96, 43)",3
"(76, 96, 59)",6
"(76, 96, 61)",2
"(76, 96, 68)",1
"(76, 96, 71)",1
"(76, 96, 84)",1
"(76, 96, 87)",4
"(76, 96, 95)",1
"(76, 96, 103)",2
"(76, 96, 105)",8
"(76, 96, 107)",31
"(76, 96, 120)",1486
"(76, 96, 121)",1789
"(76, 96, 123)",1805
"(76, 96, 129)",1949
"(76, 96, 131)",1332
"(76, 96, 133)",1038
"(76, 96, 146)",38
"(76, 96, 147)",13
"(76, 96, 149)",3
"(76, 97, 54)",3
"(76, 97, 56)",7
"(76, 97, 58)",5
"(76, 97, 66)",1
"(76, 97, 80)",5
"(76, 97, 82)",6
"(76, 97, 88)",8
"(76, 97, 92)",1
"(76, 97, 102)",1
"(76, 97, 114)",284
"(76, 97, 116)",637
"(76, 97, 118)",1016
"(76, 97, 124)",2434
"(76, 97, 126)",2479
"(76, 97, 128)",2309
"(76, 97, 140)",424
"(76, 97, 142)",200
"(76, 97, 144)",97
"(76, 97, 150)",3
"(76, 97, 152)",1
"(76, 98, 49)",2
"(76, 98, 59)",4
"(76, 98, 60)",4
"(76, 98, 86)",3
"(76, 98, 109)",16
"(76, 98, 111)",61
"(76, 98, 112)",135
"(76, 98, 119)",810
"(76, 98, 121)",1336
"(76, 98, 122)",1940
"(76, 98, 135)",1927
"(76, 98, 137)",1318
"(76, 98, 139)",732
"(76, 98, 145)",87
"(76, 98, 147)",20
"(76, 98, 148)",5
"(76, 99, 55)",3
"(76, 99, 57)",2
"(76, 99, 89)",1
"(76, 99, 105)",5
"(76, 99, 107)",5
"(76, 99, 113)",58
"(76, 99, 115)",167
"(76, 99, 117)",390
"(76, 99, 130)",3066
"(76, 99, 131)",2722
"(76, 99, 133)",2216
"(76, 99, 140)",1109
"(76, 99, 141)",552
"(76, 99, 143)",232
"(76, 99, 149)",2
"(76, 99, 151)",2
"(76, 99, 153)",1
"(76, 100, 87)",2
"(76, 100, 102)",1
"(76, 100, 104)",1
"(76, 100, 110)",7
"(76, 100, 112)",32
"(76, 100, 124)",1630
"(76, 100, 126)",2395
"(76, 100, 128)",2926
"(76, 100, 134)",2616
"(76, 100, 136)",2692
"(76, 100, 138)",2078
"(76, 100, 144)",201
"(76, 100, 146)",93
"(76, 100, 148)",20
"(76, 101, 59)",1
"(76, 101, 105)",2
"(76, 101, 106)",3
"(76, 101, 108)",4
"(76, 101, 121)",469
"(76, 101, 123)",1001
"(76, 101, 131)",2933
"(76, 101, 132)",2971
"(76, 101, 141)",1237
"(76, 101, 142)",581
"(76, 102, 115)",40
"(76, 102, 117)",111
"(76, 102, 119)",226
"(76, 102, 125)",950
"(76, 102, 127)",1616
"(76, 102, 129)",2296
"(76, 102, 135)",2760
"(76, 102, 137)",2929
"(76, 102, 139)",2359
"(76, 102, 151)",5
"(76, 103, 110)",4
"(76, 103, 112)",3
"(76, 103, 114)",16
"(76, 103, 120)",114
"(76, 103, 122)",228
"(76, 103, 124)",442
"(76, 103, 130)",1436
"(76, 103, 132)",2117
"(76, 103, 133)",2706
"(76, 103, 146)",105
"(76, 103, 148)",19
"(76, 103, 150)",10
"(76, 104, 105)",1
"(76, 104, 115)",14
"(76, 104, 116)",20
"(76, 104, 118)",48
"(76, 104, 125)",204
"(76, 104, 126)",420
"(76, 104, 128)",831
"(76, 104, 141)",1402
"(76, 104, 143)",619
"(76, 104, 144)",299
"(76, 104, 151)",6
"(76, 104, 152)",1
"(76, 104, 154)",2
"(76, 105, 103)",2
"(76, 105, 109)",1
"(76, 105, 111)",1
"(76, 105, 113)",5
"(76, 105, 119)",27
"(76, 105, 121)",60
"(76, 105, 123)",126
"(76, 105, 135)",1323
"(76, 105, 137)",1664
"(76, 105, 139)",1794
"(76, 105, 145)",154
"(76, 105, 147)",57
"(76, 105, 149)",17
"(76, 106, 114)",5
"(76, 106, 116)",4
"(76, 106, 117)",17
"(76, 106, 130)",221
"(76, 106, 132)",468
"(76, 106, 134)",818
"(76, 106, 140)",962
"(76, 106, 142)",686
"(76, 106, 144)",293
"(76, 107, 102)",1
"(76, 107, 110)",1
"(76, 107, 112)",1
"(76, 107, 125)",44
"(76, 107, 127)",76
"(76, 107, 128)",158
"(76, 107, 135)",315
"(76, 107, 136)",544
"(76, 107, 138)",783
"(76, 107, 151)",1
"(76, 107, 153)",1
"(76, 108, 119)",7
"(76, 108, 121)",8
"(76, 108, 123)",24
"(76, 108, 129)",80
"(76, 108, 131)",113
"(76, 108, 133)",212
"(76, 108, 146)",59
"(76, 108, 147)",24
"(76, 108, 149)",7
"(76, 109, 114)",2
"(76, 109, 116)",2
"(76, 109, 118)",10
"(76, 109, 124)",32
"(76, 109, 126)",37
"(76, 109, 128)",73
"(76, 109, 140)",179
"(76, 109, 142)",216
"(76, 109, 144)",129
"(76, 109, 150)",2
"(76, 109, 152)",2
"(76, 109, 154)",1
"(76, 110, 112)",1
"(76, 110, 119)",2
"(76, 110, 120)",8
"(76, 110, 122)",7
"(76, 110, 135)",83
"(76, 110, 137)",118
"(76, 110, 138)",114
"(76, 110, 145)",31
"(76, 110, 147)",11
"(76, 110, 148)",13
"(76, 111, 130)",79
"(76, 111, 131)",86
"(76, 111, 133)",88
"(76, 111, 139)",49
"(76, 111, 141)",55
"(76, 111, 143)",38
"(76, 112, 124)",8
"(76, 112, 126)",27
"(76, 112, 128)",43
"(76, 112, 134)",104
"(76, 112, 136)",70
"(76, 112, 138)",67
"(76, 112, 144)",9
"(76, 112, 146)",6
"(76, 112, 148)",1
"(76, 113, 119)",1
"(76, 113, 121)",3
"(76, 113, 122)",2
"(76, 113, 129)",28
"(76, 113, 131)",76
"(76, 113, 132)",150
"(76, 113, 139)",45
"(76, 113, 140)",33
"(76, 113, 142)",19
"(76, 114, 115)",2
"(76, 114, 123)",1
"(76, 114, 125)",4
"(76, 114, 127)",13
"(76, 114, 133)",132
"(76, 114, 135)",92
"(76, 114, 137)",77
"(76, 114, 150)",1
"(76, 115, 114)",1
"(76, 115, 122)",3
"(76, 115, 130)",51
"(76, 115, 132)",81
"(76, 115, 144)",1
"(76, 115, 146)",1
"(76, 115, 148)",5
"(76, 116, 118)",1
"(76, 116, 124)",5
"(76, 116, 126)",6
"(76, 116, 128)",14
"(76, 116, 141)",13
"(76, 116, 142)",11
"(76, 117, 119)",3
"(76, 117, 123)",2
"(76, 117, 135)",112
"(76, 117, 137)",95
"(76, 117, 139)",56
"(76, 118, 130)",4
"(76, 118, 132)",25
"(76, 118, 134)",62
"(76, 118, 140)",23
"(76, 118, 142)",1
"(76, 119, 125)",1
"(76, 119, 126)",1
"(76, 119, 128)",2
"(76, 119, 135)",26
"(76, 119, 136)",45
"(76, 119, 138)",51
"(76, 120, 119)",1
"(76, 120, 121)",3
"(76, 120, 123)",1
"(76, 120, 129)",5
"(76, 120, 131)",3
"(76, 120, 133)",14
"(76, 120, 145)",2
"(76, 121, 126)",3
"(76, 121, 127)",1
"(76, 121, 140)",11
"(76, 121, 142)",12
"(76, 121, 144)",2
"(76, 122, 122)",2
"(76, 122, 135)",1
"(76, 122, 137)",5
"(76, 122, 138)",4
"(76, 122, 145)",1
"(76, 122, 148)",1
"(76, 123, 131)",2
"(76, 123, 133)",2
"(76, 123, 141)",1
"(76, 123, 143)",1
"(76, 124, 138)",1
"(76, 124, 146)",3
"(76, 124, 147)",2
"(76, 125, 129)",1
"(76, 126, 123)",1
"(76, 126, 127)",1
"(76, 126, 151)",1
"(76, 127, 146)",1
"(76, 127, 148)",1
"(76, 130, 132)",1
"(77, 39, 36)",6
"(77, 40, 31)",1
"(77, 40, 32)",1
"(77, 40, 34)",2
"(77, 41, 41)",2
"(77, 42, 36)",32
"(77, 42, 38)",18
"(77, 43, 33)",3
"(77, 43, 34)",13
"(77, 43, 41)",11
"(77, 43, 42)",3
"(77, 44, 35)",20
"(77, 44, 37)",42
"(77, 44, 39)",47
"(77, 45, 34)",4
"(77, 45, 46)",6
"(77, 45, 50)",1
"(77, 46, 41)",60
"(77, 46, 43)",52
"(77, 46, 44)",8
"(77, 46, 51)",6
"(77, 47, 36)",9
"(77, 47, 37)",46
"(77, 47, 39)",63
"(77, 47, 45)",57
"(77, 47, 47)",18
"(77, 47, 49)",18
"(77, 48, 30)",3
"(77, 48, 32)",8
"(77, 48, 34)",43
"(77, 48, 40)",117
"(77, 48, 42)",151
"(77, 48, 44)",140
"(77, 48, 50)",29
"(77, 48, 52)",9
"(77, 48, 53)",1
"(77, 48, 68)",2
"(77, 49, 28)",3
"(77, 49, 35)",195
"(77, 49, 37)",162
"(77, 49, 38)",115
"(77, 49, 45)",325
"(77, 49, 46)",227
"(77, 49, 48)",40
"(77, 50, 29)",12
"(77, 50, 31)",44
"(77, 50, 33)",166
"(77, 50, 39)",1065
"(77, 50, 41)",564
"(77, 50, 43)",364
"(77, 50, 67)",5
"(77, 51, 34)",569
"(77, 51, 36)",1050
"(77, 51, 38)",2217
"(77, 51, 50)",101
"(77, 51, 52)",13
"(77, 51, 54)",4
"(77, 51, 64)",1
"(77, 52, 30)",13
"(77, 52, 32)",134
"(77, 52, 45)",1411
"(77, 52, 47)",297
"(77, 52, 48)",304
"(77, 52, 55)",9
"(77, 52, 56)",1
"(77, 53, 41)",9491
"(77, 53, 43)",5119
"(77, 53, 49)",3428
"(77, 53, 51)",3769
"(77, 53, 53)",751
"(77, 53, 69)",1
"(77, 54, 36)",1180
"(77, 54, 38)",2712
"(77, 54, 40)",5123
"(77, 54, 46)",8551
"(77, 54, 48)",3974
"(77, 54, 60)",13
"(77, 54, 70)",1
"(77, 55, 31)",3
"(77, 55, 32)",20
"(77, 55, 34)",169
"(77, 55, 41)",8696
"(77, 55, 42)",20939
"(77, 55, 44)",17270
"(77, 55, 57)",780
"(77, 55, 58)",70
"(77, 56, 27)",1
"(77, 56, 35)",183
"(77, 56, 37)",1284
"(77, 56, 39)",3118
"(77, 56, 51)",30180
"(77, 56, 53)",70132
"(77, 56, 55)",16579
"(77, 56, 61)",3
"(77, 56, 71)",1
"(77, 57, 32)",2
"(77, 57, 33)",34
"(77, 57, 46)",37004
"(77, 57, 48)",41362
"(77, 57, 50)",37570
"(77, 57, 56)",10333
"(77, 57, 58)",2015
"(77, 57, 59)",94
"(77, 57, 66)",1
"(77, 57, 68)",1
"(77, 58, 41)",4284
"(77, 58, 43)",13154
"(77, 58, 44)",35033
"(77, 58, 51)",32471
"(77, 58, 52)",70896
"(77, 58, 54)",43419
"(77, 58, 60)",246
"(77, 58, 62)",29
"(77, 58, 64)",5
"(77, 59, 35)",57
"(77, 59, 37)",2103
"(77, 59, 39)",14738
"(77, 59, 45)",17891
"(77, 59, 47)",42865
"(77, 59, 49)",36717
"(77, 59, 55)",109935
"(77, 59, 57)",31708
"(77, 59, 59)",2430
"(77, 59, 71)",1
"(77, 60, 32)",1
"(77, 60, 34)",10
"(77, 60, 40)",924
"(77, 60, 42)",3696
"(77, 60, 44)",6183
"(77, 60, 50)",70939
"(77, 60, 52)",78143
"(77, 60, 53)",100486
"(77, 60, 66)",23
"(77, 60, 68)",4
"(77, 60, 70)",1
"(77, 61, 35)",3
"(77, 61, 36)",23
"(77, 61, 38)",118
"(77, 61, 45)",7289
"(77, 61, 46)",20059
"(77, 61, 48)",50978
"(77, 61, 61)",3067
"(77, 61, 62)",387
"(77, 61, 64)",52
"(77, 61, 71)",4
"(77, 62, 31)",2
"(77, 62, 33)",1
"(77, 62, 39)",147
"(77, 62, 41)",790
"(77, 62, 43)",2102
"(77, 62, 55)",141762
"(77, 62, 57)",144240
"(77, 62, 59)",36720
"(77, 62, 65)",147
"(77, 62, 67)",138
"(77, 62, 69)",38
"(77, 63, 28)",1
"(77, 63, 34)",3
"(77, 63, 36)",7
"(77, 63, 37)",20
"(77, 63, 50)",42816
"(77, 63, 52)",95320
"(77, 63, 54)",125235
"(77, 63, 60)",47042
"(77, 63, 62)",5910
"(77, 63, 63)",997
"(77, 64, 29)",1
"(77, 64, 32)",2
"(77, 64, 45)",1466
"(77, 64, 47)",6602
"(77, 64, 48)",18609
"(77, 64, 55)",115263
"(77, 64, 56)",160894
"(77, 64, 58)",171661
"(77, 64, 71)",528
"(77, 64, 73)",13
"(77, 64, 74)",2
"(77, 65, 39)",34
"(77, 65, 41)",87
"(77, 65, 43)",384
"(77, 65, 49)",7294
"(77, 65, 51)",23629
"(77, 65, 53)",67642
"(77, 65, 65)",2339
"(77, 65, 67)",1500
"(77, 65, 69)",892
"(77, 65, 75)",5
"(77, 65, 77)",1
"(77, 66, 34)",13
"(77, 66, 36)",56
"(77, 66, 38)",40
"(77, 66, 44)",354
"(77, 66, 46)",747
"(77, 66, 48)",2558
"(77, 66, 60)",123430
"(77, 66, 62)",42969
"(77, 66, 64)",9836
"(77, 66, 70)",1699
"(77, 66, 72)",404
"(77, 66, 74)",57
"(77, 67, 31)",4
"(77, 67, 32)",8
"(77, 67, 40)",224
"(77, 67, 42)",406
"(77, 67, 55)",72208
"(77, 67, 57)",92449
"(77, 67, 58)",117400
"(77, 67, 65)",39499
"(77, 67, 66)",34944
"(77, 67, 68)",5909
"(77, 67, 75)",271
"(77, 67, 76)",100
"(77, 67, 78)",15
"(77, 68, 27)",1
"(77, 68, 29)",1
"(77, 68, 35)",176
"(77, 68, 37)",887
"(77, 68, 39)",397
"(77, 68, 51)",5278
"(77, 68, 53)",17158
"(77, 68, 59)",95766
"(77, 68, 61)",94143
"(77, 68, 63)",58856
"(77, 68, 69)",29550
"(77, 68, 71)",5898
"(77, 68, 73)",2499
"(77, 69, 30)",14
"(77, 69, 32)",30
"(77, 69, 33)",66
"(77, 69, 46)",2809
"(77, 69, 48)",2612
"(77, 69, 50)",5157
"(77, 69, 56)",18542
"(77, 69, 58)",68839
"(77, 69, 66)",226177
"(77, 69, 67)",414565
"(77, 69, 80)",24
"(77, 69, 82)",2
"(77, 70, 41)",3025
"(77, 70, 42)",2763
"(77, 70, 44)",5339
"(77, 70, 51)",5043
"(77, 70, 52)",9195
"(77, 70, 54)",15458
"(77, 70, 60)",181629
"(77, 70, 62)",695084
"(77, 70, 64)",344507
"(77, 70, 77)",698
"(77, 70, 78)",117
"(77, 70, 86)",6
"(77, 71, 35)",480
"(77, 71, 37)",1427
"(77, 71, 39)",4102
"(77, 71, 45)",5841
"(77, 71, 47)",8041
"(77, 71, 49)",6993
"(77, 71, 55)",48954
"(77, 71, 57)",106259
"(77, 71, 59)",88620
"(77, 71, 71)",120342
"(77, 71, 73)",29396
"(77, 71, 75)",3460
"(77, 71, 81)",98
"(77, 71, 83)",37
"(77, 71, 85)",8
"(77, 71, 99)",1
"(77, 72, 30)",3
"(77, 72, 32)",38
"(77, 72, 34)",243
"(77, 72, 40)",4575
"(77, 72, 42)",7366
"(77, 72, 43)",6909
"(77, 72, 50)",31476
"(77, 72, 52)",45504
"(77, 72, 53)",37950
"(77, 72, 66)",1255835
"(77, 72, 68)",901787
"(77, 72, 69)",179514
"(77, 72, 76)",15309
"(77, 72, 78)",2567
"(77, 72, 79)",458
"(77, 72, 92)",1
"(77, 72, 95)",1
"(77, 73, 35)",518
"(77, 73, 36)",2434
"(77, 73, 38)",3921
"(77, 73, 44)",25672
"(77, 73, 46)",37910
"(77, 73, 48)",41897
"(77, 73, 61)",185535
"(77, 73, 62)",344163
"(77, 73, 64)",287372
"(77, 73, 70)",2196415
"(77, 73, 72)",503643
"(77, 73, 74)",117683
"(77, 73, 87)",64
"(77, 73, 88)",16
"(77, 73, 90)",5
"(77, 73, 96)",2
"(77, 73, 98)",2
"(77, 73, 100)",2
"(77, 73, 106)",1
"(77, 74, 31)",4
"(77, 74, 33)",72
"(77, 74, 39)",15414
"(77, 74, 41)",26519
"(77, 74, 43)",29329
"(77, 74, 55)",69320
"(77, 74, 57)",93619
"(77, 74, 59)",75809
"(77, 74, 65)",1180796
"(77, 74, 67)",2119562
"(77, 74, 69)",2661046
"(77, 74, 81)",1454
"(77, 74, 83)",926
"(77, 74, 85)",473
"(77, 74, 91)",30
"(77, 74, 93)",7
"(77, 74, 95)",2
"(77, 74, 101)",2
"(77, 75, 34)",586
"(77, 75, 36)",5043
"(77, 75, 37)",13237
"(77, 75, 50)",10194
"(77, 75, 52)",26736
"(77, 75, 54)",28286
"(77, 75, 60)",219099
"(77, 75, 62)",316789
"(77, 75, 63)",590772
"(77, 75, 76)",558179
"(77, 75, 78)",91147
"(77, 75, 80)",6105
"(77, 75, 86)",774
"(77, 75, 88)",463
"(77, 75, 89)",77
"(77, 75, 96)",18
"(77, 75, 97)",6
"(77, 75, 99)",2
"(77, 75, 112)",1
"(77, 76, 30)",1
"(77, 76, 32)",62
"(77, 76, 45)",7037
"(77, 76, 46)",16754
"(77, 76, 48)",8692
"(77, 76, 55)",81468
"(77, 76, 56)",136712
"(77, 76, 58)",184656
"(77, 76, 71)",1797379
"(77, 76, 72)",1998036
"(77, 76, 74)",706064
"(77, 76, 81)",95481
"(77, 76, 82)",15828
"(77, 76, 84)",1995
"(77, 76, 90)",312
"(77, 76, 92)",140
"(77, 76, 94)",62
"(77, 76, 107)",4
"(77, 76, 116)",2
"(77, 77, 39)",4765
"(77, 77, 41)",13792
"(77, 77, 43)",6653
"(77, 77, 49)",27898
"(77, 77, 51)",37456
"(77, 77, 53)",53389
"(77, 77, 65)",247473
"(77, 77, 67)",534949
"(77, 77, 69)",1143737
"(77, 77, 75)",149962
"(77, 77, 77)",4719648
"(77, 77, 79)",125728
"(77, 77, 85)",12474
"(77, 77, 87)",1894
"(77, 77, 89)",1045
"(77, 77, 101)",19
"(77, 77, 103)",10
"(77, 77, 105)",5
"(77, 77, 111)",5
"(77, 77, 113)",3
"(77, 77, 115)",1
"(77, 77, 151)",1
"(77, 78, 34)",102
"(77, 78, 36)",914
"(77, 78, 38)",1872
"(77, 78, 44)",11047
"(77, 78, 46)",15048
"(77, 78, 47)",21214
"(77, 78, 60)",195142
"(77, 78, 62)",178903
"(77, 78, 64)",175168
"(77, 78, 70)",122077
"(77, 78, 72)",291735
"(77, 78, 73)",216356
"(77, 78, 80)",90351
"(77, 78, 82)",1245100
"(77, 78, 83)",373444
"(77, 78, 96)",268
"(77, 78, 98)",92
"(77, 78, 99)",35
"(77, 78, 106)",7
"(77, 78, 108)",8
"(77, 78, 109)",4
"(77, 78, 122)",2
"(77, 78, 126)",3
"(77, 78, 132)",1
"(77, 79, 32)",3
"(77, 79, 39)",3542
"(77, 79, 40)",7135
"(77, 79, 42)",10331
"(77, 79, 55)",189815
"(77, 79, 57)",187870
"(77, 79, 58)",200191
"(77, 79, 65)",94868
"(77, 79, 66)",62695
"(77, 79, 68)",65071
"(77, 79, 74)",23159
"(77, 79, 76)",24550
"(77, 79, 78)",48399
"(77, 79, 91)",2339
"(77, 79, 92)",1500
"(77, 79, 94)",750
"(77, 79, 100)",83
"(77, 79, 102)",33
"(77, 79, 104)",22
"(77, 79, 117)",3
"(77, 79, 118)",4
"(77, 79, 120)",2
"(77, 79, 140)",1
"(77, 80, 33)",5
"(77, 80, 35)",81
"(77, 80, 37)",1005
"(77, 80, 49)",110464
"(77, 80, 51)",158559
"(77, 80, 53)",188209
"(77, 80, 59)",250556
"(77, 80, 61)",190700
"(77, 80, 63)",131508
"(77, 80, 69)",4529
"(77, 80, 71)",9872
"(77, 80, 73)",16917
"(77, 80, 85)",30530
"(77, 80, 87)",11742
"(77, 80, 89)",3767
"(77, 80, 95)",1927
"(77, 80, 97)",1028
"(77, 80, 99)",341
"(77, 80, 111)",21
"(77, 80, 113)",9
"(77, 80, 115)",6
"(77, 80, 121)",3
"(77, 80, 123)",3
"(77, 80, 125)",1
"(77, 80, 133)",3
"(77, 81, 44)",14703
"(77, 81, 46)",35107
"(77, 81, 48)",68856
"(77, 81, 54)",375650
"(77, 81, 56)",367913
"(77, 81, 58)",304314
"(77, 81, 64)",35578
"(77, 81, 66)",21559
"(77, 81, 67)",8221
"(77, 81, 80)",10955
"(77, 81, 82)",38973
"(77, 81, 84)",232364
"(77, 81, 90)",4293
"(77, 81, 92)",3924
"(77, 81, 93)",3462
"(77, 81, 106)",58
"(77, 81, 108)",45
"(77, 81, 110)",32
"(77, 81, 116)",17
"(77, 81, 118)",8
"(77, 81, 119)",5
"(77, 81, 126)",6
"(77, 81, 128)",2
"(77, 81, 129)",8
"(77, 81, 144)",1
"(77, 82, 41)",2560
"(77, 82, 42)",6811
"(77, 82, 50)",221822
"(77, 82, 52)",318554
"(77, 82, 59)",29260
"(77, 82, 60)",45295
"(77, 82, 62)",47547
"(77, 82, 75)",1151
"(77, 82, 76)",2125
"(77, 82, 78)",3502
"(77, 82, 85)",9088
"(77, 82, 86)",5858
"(77, 82, 88)",5663
"(77, 82, 101)",404
"(77, 82, 102)",219
"(77, 82, 104)",105
"(77, 82, 111)",68
"(77, 82, 112)",39
"(77, 82, 114)",16
"(77, 82, 120)",15
"(77, 82, 122)",8
"(77, 82, 124)",7
"(77, 82, 137)",1
"(77, 83, 35)",13
"(77, 83, 37)",133
"(77, 83, 39)",777
"(77, 83, 45)",27439
"(77, 83, 47)",66048
"(77, 83, 49)",130886
"(77, 83, 55)",17061
"(77, 83, 57)",18271
"(77, 83, 69)",1808
"(77, 83, 71)",744
"(77, 83, 73)",841
"(77, 83, 79)",487
"(77, 83, 81)",689
"(77, 83, 83)",4542
"(77, 83, 95)",3071
"(77, 83, 97)",2305
"(77, 83, 99)",1060
"(77, 83, 105)",233
"(77, 83, 107)",128
"(77, 83, 109)",93
"(77, 83, 115)",47
"(77, 83, 117)",27
"(77, 83, 119)",20
"(77, 83, 131)",7
"(77, 83, 133)",2
"(77, 83, 135)",3
"(77, 84, 32)",2
"(77, 84, 33)",12
"(77, 84, 40)",992
"(77, 84, 42)",3091
"(77, 84, 43)",9753
"(77, 84, 50)",4849
"(77, 84, 51)",6625
"(77, 84, 53)",8521
"(77, 84, 66)",14067
"(77, 84, 68)",6775
"(77, 84, 76)",157
"(77, 84, 77)",213
"(77, 84, 90)",1415
"(77, 84, 92)",4071
"(77, 84, 94)",2321
"(77, 84, 100)",1609
"(77, 84, 102)",890
"(77, 84, 103)",399
"(77, 84, 110)",217
"(77, 84, 112)",107
"(77, 84, 113)",65
"(77, 84, 126)",17
"(77, 84, 128)",20
"(77, 84, 130)",15
"(77, 84, 136)",9
"(77, 84, 138)",4
"(77, 85, 34)",5
"(77, 85, 36)",68
"(77, 85, 38)",300
"(77, 85, 44)",454
"(77, 85, 46)",1159
"(77, 85, 48)",2628
"(77, 85, 61)",10280
"(77, 85, 62)",17858
"(77, 85, 64)",19709
"(77, 85, 70)",472
"(77, 85, 72)",166
"(77, 85, 74)",119
"(77, 85, 87)",390
"(77, 85, 88)",589
"(77, 85, 96)",1637
"(77, 85, 98)",1611
"(77, 85, 104)",777
"(77, 85, 106)",461
"(77, 85, 108)",304
"(77, 85, 121)",56
